protein1 protein2 combined_score
3702.AT1G01010.1 3702.AT1G10570.1 165
3702.AT1G01010.1 3702.AT1G17080.1 762
3702.AT1G01010.1 3702.AT1G18340.1 624
3702.AT1G01010.1 3702.AT5G19790.1 321
3702.AT1G01010.1 3702.AT5G35735.1 189
3702.AT1G01010.1 3702.AT2G22950.1 216
3702.AT1G01010.1 3702.AT3G44350.2 159
3702.AT1G01010.1 3702.AT5G56860.1 217
3702.AT1G01010.1 3702.AT1G06150.1 624
3702.AT1G01010.1 3702.AT5G28220.1 181
3702.AT1G01010.1 3702.AT2G27300.1 247
3702.AT1G01010.1 3702.AT4G24240.1 269
3702.AT1G01010.1 3702.AT3G62730.1 432
3702.AT1G01010.1 3702.AT4G18360.1 161
